_author_name,Author,DBLP URL,MTMT id,MTA ATT id,MTMT name,Category,MTMT Status,Works,Affiliations,Core A*,Core A,Core A* Papers,Core A Papers,Core B,Core C,No Core,Hungarian Core A* equivalent,Core A* equivalent,First Author Core A* equivalent,MTMT Journal Publications,MTMT Conference Publications,MTMT Total Citations,MTMT Journal D1 Equivalents,MTMT Journal D1,MTMT Journal Q1,MTMT Journal Q2,MTMT Affiliations,Aktuális fokozat szakterülete,Kutatási téma,MTA Bizottság,Elérhetőségek,Aktuális fokozat,Szervezeti tagságok,PhD éve,Foglalkozás,Core A* equivalent Author Order,Hungarian Core A* equivalent Author Order,First Author Core A* equivalent Author Order,Years Since PhD,Age Group,Category Core A* Rank,Category Hungarian Core A* Rank,Category First Author Core A* Rank,Age Group Core A* Rank,Age Group Hungarian Core A* Rank,Age Group First Author Core A* Rank,MTMT Journal Q3,MTMT Journal Q4,Született,MTA tagság,MTA kép,Díjak,DBLP alias
Miklós Ajtai,Miklós Ajtai,https://dblp.org/pid/90/6947,,,,theory,,abroad,"IBM Almaden Research Center, San Jose, CA, USA",35,2,6,0,3,1,2,6.0,36.25,36.25,,,,,,,,,,,,,,,,,10,39,2,0,0-5 év,7,23,2,7,24,2,,,,levelező tag,,,
János Pach,János Pach,https://dblp.org/pid/18/2119,https://m2.mtmt.hu/api/author/10002598,https://mta.hu/koztestuleti_tagok?PersonId=22130,"Pach János (Diszkrét és algoritmikus geometria, kombinatorika)",theory,,hungary,"Renyi 1977-1985; New York University 1986-2007; École Polytechnique Fédérale de Lausanne, Switzerland 2008-2019",16,40,7,19,1,10,56,13.499999999999998,30.333333333333336,12.250000000000002,311,11,13715,71.875,45,52,48,Geometria HRN RAMKI [1955-],-,Geometriai gráfelmélet Kombinatorikus geometria,Matematikai Tudományos Bizottság,"HUN-REN Rényi Alfréd Matematikai Kutatóintézet Geometria 1053 Budapest, Reáltanoda utca 13-15. Magyarország Honlap: http://www.renyi.hu/~pach/",levelező tag (2022),Informatika- és Számítástudományi Bizottság (szavazati jogú tag); Matematikai Tudományos Bizottság (szavazati jogú tag); Bolyai János Matematikai Társulat; Academia Europaea; American Mathematical Society; Applied Math. Research Express; Central European Journal of Mathematics; Computational Geometry: Theory and Appls.; Discrete Mathematics; Geombinatorics; Graphs and Combinatorics; International Journal of Computer Mathematics; Journal of Computational Geometry; Moscow Journal of Combinatorics and Number Theory; Combinatorica; Discrete & Computational Geometry (főszerkesztő),,Tudományos tanácsadó,12,11,7,0,0-5 év,9,6,6,9,8,6,17,2,1954.05.03,,https://aat.mta.hu/aat/FileData/Get/2875,Association for Computing Machinery Fellowship: 2011; Akadémiai Díj (Magyar Tudományos Akadémia Elnöksége): 1998; Rényi Alfréd-díj: 1992; Ford Award (Mathematical Association of America): 1990; Akadémiai Ifjúsági Díj (Magyar Tudományos Akadémia): 1989; Grünwald Géza-emlékdíj: 1982; Népköztársasági Aranygyűrű: 1981,
Laura Kovács,Laura Kovács,https://dblp.org/pid/k/LauraKovacs,,,,,,abroad,"TU Wien, Vienna, Austria",12,33,0,0,26,20,34,0.0,29.0,6.083333333333333,,,,,,,,,,,,,,,,,13,334,18,0,0-5 év,2,23,2,10,236,15,,,,,,,
Ákos Lédeczi,Ákos Lédeczi,https://dblp.org/pid/l/AkosLedeczi,,-,,applied,,abroad,Vanderbilt University,12,11,3,2,21,25,38,4.166666666666667,21.249999999999996,1.5833333333333333,,,,,,,,,,,,,,,,,22,62,107,0,0-5 év,6,27,35,19,34,75,,,,,,,
László Lovász 0001,László Lovász 0001,https://dblp.org/pid/l/LaszloLovasz,https://m2.mtmt.hu/api/author/10000916,-,"Lovász László (Matematika, számítógéptudomány)",theory,,hungary,ELTE 1982-1984; ELTE 2006-,27,2,8,0,2,2,11,8.25,28.166666666666668,11.750000000000002,262,14,30380,43.00000000000001,34,22,8,Synergy HRN RAMKI [2019-]; MTA-ELTE Numerikus Analízis és Nagy Hálózatok Kutatócsoport ELTE / TTK / Mat_I [2012-2022]; Számítógéptudományi Tanszék ELTE / TTK / Mat_I Szgtud_Tsz [2006-]; TTK Professor Emeritus ELTE [2006-]; Rényi Alfréd Matematikai Kutatóintézet RAMKI [2019-2023]; Matematikai Intézet ELTE / TTK Mat_I [2006-]; ELKH-ELTE Numerikus Analízis és Nagy Hálózatok Kutatócsoport ELTE / TTK / Mat_I [2022-2023]; Kombinatorika és Alkalmazásai Osztály HRN RAMKI KAO [2022-]; HUN-REN Rényi Alfréd Matematikai Kutatóintézet HRN RAMKI [2024-]; HUN-REN-ELTE Numerikus Analízis és Nagy Hálózatok Kutatócsoport ELTE / TTK / Mat_I [2023-],,,,,,,,,14,29,8,0,0-5 év,10,16,7,11,18,7,1,4,,,,,
László A. Végh,László A. Végh,https://dblp.org/pid/12/2680,,,Végh László (Matematika),theory,inactive,abroad,"University of Bonn; London School of Economics and Political Science, London, UK",23,13,1,2,1,1,6,1.6666666666666665,27.583333333333332,5.0,,,,,,,,,,,,,,,,,15,179,22,0,0-5 év,11,71,15,12,110,17,,,,levelező tag,,,
Gabriela Csurka,Gabriela Csurka,https://dblp.org/pid/c/GabrielaCsurka,,,,applied,,company,NAVER LABS Europe 2017-; Xerox,20,12,1,0,6,6,40,1.0,25.5,3.666666666666666,,,,,,,,,,,,,,,,,16,179,38,0,0-5 év,3,105,8,13,110,31,,,,,,,
Gábor Tardos,Gábor Tardos,https://dblp.org/pid/t/GaborTardos,https://m2.mtmt.hu/api/author/10009673,https://mta.hu/koztestuleti_tagok?PersonId=14638,Tardos Gábor (Kombinatorika),theory,,hungary,"Rényi 1989-2004; Rényi Institute of Mathematics, Hungarian Academy of Scieces 2013-; ELTE -1988; Simon Fraser University, School of Computing Science 2005-2013",22,6,18,5,3,2,15,20.083333333333332,24.666666666666668,1.5833333333333333,105,14,3756,43.3125,28,35,19,Diszkrét Matematika RAMKI DM [1955-2021]; Gráfelmélet Osztály HRN RAMKI GO [2022-],-,,Matematikai Tudományos Bizottság,"HUN-REN Rényi Alfréd Matematikai Kutatóintézet Diszkrét Matematika 1053 Budapest, Reáltanoda utca 13-15. Magyarország Tel.: +36 1 4838348 Fax: +36 1 4838333 Email: tardos.gabor@renyi.hu E-mail: tardos.gabor@renyi.hu Honlap: http://www.renyi.hu/~tardos; Közép-európai Egyetem-Central European University The Department of Mathematics and its Applications 1051 Budapest, Nádor utca 9. Magyarország",rendes tag (2025),Jelölőbizottság (póttag); Tudományetikai Bizottság (szavazati jogú tag); Informatika- és Számítástudományi Bizottság (szavazati jogú tag); Matematikai Tudományos Bizottság (szavazati jogú tag); Bolyai János Matematikai Társulat; Periodica Mathematica Hungarica,,egyetemi tanár,17,3,107,0,0-5 év,12,3,55,14,2,75,5,1,"Budapest, 1964.07.11.",,https://aat.mta.hu/aat/FileData/Get/2877,Corvin-lánc ösztöndíj: 2002; Rényi Alfréd-díj: 1999; Erdős Pál-díj: 1999; Akadémiai Ifjúsági Díj (Magyar Tudományos Akadémia): 1995; Grünwald Géza-emlékdíj: 1988,
Tamás Sarlós,Tamás Sarlós,https://dblp.org/pid/48/959,https://m2.mtmt.hu/api/author/10017907,-,Sarlós Tamás,applied,inactive,abroad,Google 2011-; SZTAKI 2008-2010; ELTE -2007,22,8,3,0,0,0,12,3.0,24.666666666666668,2.0,2,0,724,1,1,,,Informatikai Kutatólaboratórium HRN SZTAKI INFKL [1979-2023],,,,,,,,,17,83,62,0,0-5 év,4,42,15,14,46,52,,,,,,,András Benczúr
Miklos Santha,Miklos Santha,https://dblp.org/pid/18/3053,,,,applied,,abroad,Université Paris Diderot,15,21,2,6,10,5,13,5.0,24.083333333333336,2.9999999999999996,,,,,,,,,,,,,,,,,17,46,62,0,0-5 év,4,18,15,14,28,52,,,,rendes tag,,,
György Turán,György Turán,https://dblp.org/pid/50/4701,https://m2.mtmt.hu/api/author/10006363,https://mta.hu/koztestuleti_tagok?PersonId=10515,"Turán György (Számítástudomány, matematikai logika, kombinatronika, és mesterséges intelligencia)",theory,inactive,abroad,"University of Illinois at Chicago, and Hungarian Academy of Sciences; SZTE",15,12,15,12,11,3,16,21.083333333333332,21.083333333333332,3.6666666666666665,70,9,1072,8.333333333333334,4,5,15,HUN-REN-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2023-]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / ITCS [2007-2015],Matematikai tudomány,,Matematikai Tudományos Bizottság,"Szegedi Tudományegyetem 6720 Szeged, Dugonics tér 13. Magyarország",kandidátus (1990),Matematikai Tudományos Bizottság,,,22,2,38,0,0-5 év,15,2,27,19,1,31,2,,,,,,
Edouard Bonnet,Edouard Bonnet,https://dblp.org/pid/131/6607,https://m2.mtmt.hu/api/author/10058132,-,Bonnet Édouard (Paraméteres algoritmusok),theory,inactive,abroad,abroad,12,25,0,2,18,3,11,0.8333333333333333,23.583333333333336,19.083333333333332,8,2,111,2.25,1,1,5,Paraméteres Algoritmusok és Bonyolultság Kutatócsoport HRN SZTAKI / INFKL [2012-2020],,,,,,,,,20,334,4,0,0-5 év,13,113,4,17,236,4,1,,,,,,
Gábor Lugosi,Gábor Lugosi,https://dblp.org/pid/70/3715,https://m2.mtmt.hu/api/author/10017791,-,Lugosi Gábor (Matematikai statisztika),theory,inactive,abroad,ICREA and Universitat Pompeu Fabra,19,1,3,0,5,4,13,3.0833333333333335,20.499999999999996,4.5,142,5,6365,69.16666666666666,60,22,9,Informatikai Kutatólaboratórium HRN SZTAKI INFKL [1979-2023],,,,,,,,,24,83,26,0,0-5 év,16,42,18,21,46,21,4,,,rendes tag,,,
Adrian Dumitrescu,Adrian Dumitrescu,https://dblp.org/pid/69/5787,https://m2.mtmt.hu/api/author/10100017,-,Dumitrescu Adrian (Mat),theory,inactive,abroad,abroad,11,19,0,1,22,19,25,0.5,22.583333333333332,20.583333333333332,111,3,647,24.354166666666668,5,30,48,Geometria HRN RAMKI [1955-],,,,,,,,,21,334,3,0,0-5 év,14,113,3,18,236,3,11,7,,,,,
János Tapolcai,János Tapolcai,https://dblp.org/pid/14/4896,https://m2.mtmt.hu/api/author/10000140,https://mta.hu/koztestuleti_tagok?PersonId=17893,Tapolcai János (Távközlés),applied,,hungary,BME-TMIT,16,9,16,9,0,16,41,20.333333333333332,20.333333333333332,10.583333333333334,78,5,3049,37.395833333333336,28,19,16,Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; MTA-BME Lendület Jövő Internet Kutatócsoport BME / VIK / TMIT [2012-]; MTA-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2013-2022]; Budapesti Műszaki és Gazdaságtudományi Egyetem BME [2000-]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-]; ELKH-BME Informatikai Rendszerek Kutatócsoport BME / VIK / HRSZT [2022-2023],Informatika,Modellezési és algoritmikus problémák hibavédett távközlési hálózatokban,Távközlési Tudományos Bizottság,"MTA-BME Lendület Jövő Internet Kutatócsoport 1117 Budapest, Magyar tudósok körútja 2. Magyarország; Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 1 4634391 Fax: +36 1 4631763",MTA doktora (2014),"Távközlési Tudományos Bizottság (titkár, szavazati jogú tag); Lendület Zsűri MT Szekció; Momentum MSCA MNS Panel",2005,"kutatócsoport-vezető, Egyetemi docens",24,3,11,20,10-20 év,7,1,3,2,2,2,4,1,,,https://aat.mta.hu/aat/FileData/Get/40450,,
Gergely Neu,Gergely Neu,https://dblp.org/pid/83/7606,https://m2.mtmt.hu/api/author/10019791,-,Neu Gergely (Gépi tanulás),applied,inactive,abroad,"Pompeu Fabra University, DTIC, Barcelona, Spain 2014-; BME-SZIT -2013; SZTAKI -2013",16,8,3,1,8,3,17,3.5833333333333335,20.25,11.166666666666666,5,0,137,2.3333333333333335,2,1,,Gépi Tanulás Kutatócsoport MTA SZTAKI [1998-2012]; Számítástudományi és Információelméleti Tanszék BME / VIK SZIT [2000-],,,,,,,,,24,83,8,0,0-5 év,7,42,2,21,46,7,,,,,,,
T. László Kóczy,T. László Kóczy,https://dblp.org/pid/00/2018,https://m2.mtmt.hu/api/author/10000464,https://mta.hu/koztestuleti_tagok?PersonId=11696,Kóczy T. László (Távközlő rendszerek),applied,,hungary,BME-TMIT,0,47,0,47,3,33,57,18.916666666666664,18.916666666666664,1.8333333333333333,160,30,5839,21.875000000000004,8,14,37,"Informatika Tanszék SZE / MTK IT [2012-2015]; Automatizálási Tanszék SZE / MTK AT [2012-2015]; Informatika Tanszék SZE / MTK / JÁGIVI IT [2005-2011]; Automatizálási Tanszék SZE / MTK / JÁGIVI AT [2005-2011]; Távközlési és Telematika Tanszék BME / VIK TTT [2000-2003]; Távközlési és Médiainformatikai Tanszék BME / VIK TMIT [2003-2024]; Automatizálási Tanszék SZE / GIVK AT [2015-2022]; Informatika Tanszék SZE / IVK IT [2015-]; Gépészmérnöki, Informatikai és Villamosmérnöki Kar SZE GIVK [2015-2025]; Széchenyi István Egyetem SZE [2002-]; Járműipari Kutatóközpont SZE JKK [2011-]; Budapesti Műszaki Egyetem BME [1949-2000]; Automatizálási és Mechatronika Tanszék SZE / GIVK AMT [2022-2025]; Távközlési és Mesterséges Intelligencia Tanszék BME / VIK TMIT [2024-]; Automatizálási és Robotika Tanszék SZE / IVK ART [2025-]; Informatikai és Villamosmérnöki Kar SZE IVK [2025-]",Műszaki tudomány,Fuzzy modelek és identifikáció Fuzzy szabályalapú rendszerek Intelligens számítási rendszerek Intelligens tér Távközlő rendszerek,Távközlési Tudományos Bizottság,"Széchenyi István Egyetem Építész-, Építő- és Közlekedésmérnöki Kar Automatizálási Tanszék 9026 Győr, Egyetem tér 1. Magyarország Tel.: +36 96 503461; Budapesti Műszaki és Gazdaságtudományi Egyetem Villamosmérnöki és Informatikai Kar Távközlési és Mesterséges Intelligencia tanszék 1117 Budapest, Magyar tudósok körútja 2. Magyarország Tel.: +36 46 31111 / 1505 Tel.: +36 1 4634161 Email: koczy@tmit.bme.hu Honlap: http://www.tmit.bme.hu/",tudomány doktora (1998),"Távközlési Tudományos Bizottság; Akusztikai Osztályközi Állandó Bizottság (szavazati jogú tag); Műszaki Szakbizottság; Bolyai János Matematikai Társulat; Hiradástechnikai Tudományos Egyesület; MAB Műszaki Tudományi Bizottság (elnök); Magyar Felsőoktatási Akkreditációs Bizottság; Magyar Felsőoktatási Akkreditációs Bizottság Egyetemi Tanári Kollégium; Magyar Fuzzy Társaság; Magyar Rektori Konferencia Informatikai Tudományok Bizottsága; Méréstechnikai, Irányítástechnikai és Automatizálási Tudományos Egyesület; Műszaki Felsőoktatás Rektori Főigazgatói Kollégium; Nemzetközi Akkreditáló Látogató Bizottság; Neumann János Számítástudományi Társaság; OKF Iparbiztonsági Tanácsadó Testület; Australia and New Zealand Intelligent Information Systems Advisory Board; CINECA Akkreditációs Bizottság; EURO Working Group on Fuzzy Sets (alapító tag); Fuzzy Initiative Nordrhein-Westfalen Advisory Board; Hongkong University Grants Committee; IEEE Systems Council Administrative Committee; Institute of Electrical and Electronics Engineers (senior member); Institute of Electrical and Electronics Engineers Computational Intelligence Society (elnökségi tag); Italian Ministry of University and Research; Life Fellow of the International Society of Management Engineers; Fuzzy Sets and Systems (társszerkesztő)",,"egyetemi tanár, Egyetemi tanár",28,5,107,0,0-5 év,9,2,35,24,3,75,14,30,1952.03.18,,https://aat.mta.hu/aat/FileData/Get/2928,"Magyar Érdemrend Középkereszt polgári tagozat: 2017; For Dedication and Service (IEEE Computational Intelligence Society): 2012; For Leadership and Service (IEEE International Conference on Fuzzy Systems): 2012; Best Paper Award (IEEE International Conference on Fuzzy Systems): 2011; For Dedicated Service (IEEE Computational Intelligence Society): 2010; Life Fellow of the International Society of Management Engineers: 2009; Distinguished Contribution Award (International Symposium on Management Engineering): 2009; Fellow of the International Fuzzy Systems Association: 2007; For Notable Services and Contributions (IEEE Computational Intelligence Society): 2006; Honor for Outstanding Contribution (International Fuzzy Systems Association): 2005; For Distinguished Contribution (Berkeley Initiative for Soft Computing, University of California): 2005; Kozma László-emlékérem: 2004; Gábor Dénes-díj: 2002; Széchenyi professzori ösztöndíj: 1997; Miniszteri Dícséret: 1989; Hiradástechnika Nívódíj: 1986; Ezüst Jelvény (HTE): 1985",
Endre Szemerédi,Endre Szemerédi,https://dblp.org/pid/94/1611,https://m2.mtmt.hu/api/author/10000957,-,Szemerédi Endre (Kombinatorika),theory,inactive,retired,Rényi -1989; Rutgers University 1990-2000,19,1,15,1,0,1,3,15.333333333333334,19.416666666666664,0.08333333333333333,146,2,11694,18.166666666666668,11,11,20,Diszkrét Matematika RAMKI DM [1955-2021]; Extremális Kombinatorika Osztály HRN RAMKI EKO [2022-],,,,,,,,,27,8,201,0,0-5 év,17,5,73,23,6,145,2,,,,,,
Tibor Jager,Tibor Jager,https://dblp.org/pid/53/1548,,,,,,hungary,University of Wuppertal,11,19,0,0,8,1,20,0.0,18.749999999999996,7.25,,,,,,,,,,,,,,,,,28,334,13,0,0-5 év,3,23,1,24,236,11,,,,,,,
Balázs Szörényi,Balázs Szörényi,https://dblp.org/pid/90/1311,https://m2.mtmt.hu/api/author/10017594,-,Szörényi Balázs (Számítástudomány),theory,inactive,abroad,University of Szeged -2017; Technion 2015-2017; Yahoo 2018-,15,4,9,4,4,0,8,10.666666666666668,17.0,2.3333333333333335,17,6,140,3.5,1,4,7,Matematika- és Számítástudományok Doktori Iskola SZTE / DI MDI [2000-2021]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / ITCS [2007-2015]; MTA-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2016-2022]; ELKH-SZTE Mesterséges Intelligencia Kutatócsoport SZTE / TTIK / INF [2022-2023],,,,,,,,,33,18,62,0,0-5 év,18,10,40,28,12,52,,,,,,,
Patrick van der Smagt,Patrick van der Smagt,https://dblp.org/pid/24/6573,https://m2.mtmt.hu/api/author/10095669,-,van der Smagt Patrick (Machine Learning and Robotics),applied,,hungary,hungary,10,18,10,18,8,8,28,18.0,18.0,0.5,67,2,3577,22.833333333333336,15,14,18,Mesterséges Intelligencia Tanszék ELTE / IK [2019-],,,,,,,,,28,5,201,0,0-5 év,9,2,89,24,3,145,2,,,,,,
